State,Number of CoCs,Overall Homeless,Overall Homeless - Under 18,Overall Homeless - Age 18 to 24,Overall Homeless - Female,Overall Homeless - Male,Overall Homeless - Transgender,Overall Homeless - Non-Hispanic/Non-Latin(o)(a)(x),Overall Homeless - Hispanic/Latin(o)(a)(x),Overall Homeless - White,"Overall Homeless - Black, African American, or African",Overall Homeless - Asian or Asian American,"Overall Homeless - American Indian, Alaska Native, or Indigenous",Overall Homeless - Native Hawaiian or Other Pacific Islander,Year
AK,2,1956,411,197,773,1181,2,1862,94,745,144,18,883,62,2015
AL,8,3970,716,271,1532,2427,11,3901,69,1813,2090,5,19,1,2015
AR,7,2560,417,243,978,1582,0,2143,417,1543,903,7,32,29,2015
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2015
AZ,3,9896,2124,824,3966,5916,14,7516,2380,6697,1761,57,849,57,2015
CA,43,115738,13657,11645,38676,76545,517,84183,31555,64340,32262,2146,4762,1225,2015
CO,3,9953,2528,808,3923,6012,18,7006,2947,6638,1948,90,477,34,2015
CT,3,4047,827,234,1505,2535,7,2923,1124,2164,1570,38,50,124,2015
DC,1,7298,2056,736,3087,4198,13,6914,384,443,6595,62,28,12,2015
DE,1,953,227,81,400,553,0,899,54,369,513,3,11,3,2015
FL,27,35900,6539,2451,12719,23122,59,30912,4988,20921,13165,122,376,112,2015
GA,9,13790,2500,812,4878,8882,30,13089,701,4307,8955,40,30,51,2015
GU,1,1280,520,123,609,671,0,1274,6,11,4,46,1,1191,2015
HI,2,7620,1918,531,3174,4426,20,6679,941,1852,263,477,95,2978,2015
IA,3,3081,1030,318,1409,1668,4,2833,248,1972,803,16,68,17,2015
ID,2,1966,484,160,840,1123,3,1729,237,1733,69,11,109,16,2015
IL,20,13177,3187,1349,5291,7866,20,11378,1799,4690,7798,100,53,20,2015
IN,3,5863,1261,492,2359,3497,7,5647,216,3496,2085,17,44,16,2015
KS,5,2588,705,175,1132,1453,3,2320,268,1664,639,12,108,8,2015
KY,3,4538,861,352,1706,2823,9,4403,135,3088,1193,7,38,15,2015
LA,9,4081,581,443,1373,2694,14,3982,99,1536,2395,21,50,14,2015
MA,16,21135,8583,2047,10602,10528,5,13720,7415,11922,7175,206,100,144,2015
MD,16,8390,1908,664,3245,5139,6,7887,503,3016,4920,58,53,36,2015
ME,2,2372,637,245,1145,1218,9,2297,75,2036,213,6,25,8,2015
MI,21,10516,2686,1224,4309,6203,4,9986,530,4612,5343,29,79,22,2015
MN,10,7546,2607,993,3693,3826,27,6937,609,2641,3466,117,663,29,2015
MO,8,6482,1903,678,3051,3430,1,6229,253,3550,2565,21,41,26,2015
MP,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2015
MS,3,1983,340,105,761,1222,0,1962,21,577,1372,2,10,14,2015
MT,1,1709,374,225,711,996,2,1579,130,1281,38,0,321,5,2015
NC,12,10685,2295,841,4185,6487,13,10147,538,4494,5711,57,173,17,2015
ND,1,1305,265,152,456,843,6,1215,90,774,232,16,184,5,2015
NE,3,2744,635,292,1012,1722,10,2347,397,1831,586,25,119,16,2015
NH,3,1445,382,142,616,826,3,1325,120,1312,64,6,2,1,2015
NJ,16,10098,2404,1074,4156,5930,12,8279,1819,4336,5562,97,23,34,2015
NM,2,2629,701,205,1086,1537,6,1517,1112,1728,213,12,587,17,2015
NV,3,8743,1395,1573,2837,5901,5,7329,1414,4605,3213,235,187,73,2015
NY,27,88250,31005,8944,41697,46412,141,60227,28023,21705,60103,879,822,1368,2015
OH,9,11182,2241,1082,4349,6817,16,10799,383,5532,5084,35,59,18,2015
OK,8,3777,691,467,1535,2237,5,3528,249,2458,732,7,411,11,2015
OR,7,13226,2545,1228,5197,7977,52,11681,1545,10704,847,133,599,164,2015
PA,16,15421,4312,1592,6844,8553,24,13301,2120,6486,8202,77,77,32,2015
PR,2,4518,363,248,1237,3266,15,151,4367,1894,717,1,50,17,2015
RI,1,1111,252,89,418,691,2,831,280,765,287,4,7,2,2015
SC,4,5354,782,301,1970,3384,0,5216,138,2253,2926,11,43,19,2015
SD,1,1036,266,139,373,662,1,1020,16,403,87,3,524,3,2015
TN,10,9123,1625,836,3636,5467,20,8931,192,5370,3488,22,66,24,2015
TX,11,23678,4529,1712,9038,14575,65,16750,6928,13713,8603,145,424,104,2015
UT,3,3025,764,199,1176,1842,7,2365,660,2359,311,35,128,74,2015
VA,16,7001,1769,576,2803,4191,7,6517,484,2703,3761,110,62,17,2015
,1,337,19,14,82,255,0,308,29,42,260,2,8,0,2015
VT,2,1523,356,180,668,853,2,1476,47,1363,134,3,5,3,2015
WA,7,19419,4162,1881,7457,11896,66,16681,2738,11860,4095,369,871,491,2015
WI,4,6057,1987,550,2748,3304,5,5544,513,3276,2153,55,224,44,2015
WV,4,1835,268,171,626,1208,1,1796,39,1495,289,1,9,3,2015
WY,1,798,187,59,295,503,0,669,129,628,30,0,97,1,2015
,406,564708,127787,52973,224344,339075,1289,452140,112568,273746,227937,6074,15136,8827,2015
AK,2,1940,274,173,808,1127,5,1797,143,739,147,44,786,53,2016
AL,8,4111,681,304,1733,2366,12,4027,84,1714,2251,4,49,8,2016
AR,7,2463,432,197,1047,1415,1,2377,86,1451,894,10,21,8,2016
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2016
AZ,3,9707,2022,733,3685,6005,17,7342,2365,6562,1792,53,809,67,2016
CA,43,118142,12828,12160,39175,78121,846,85437,32705,67669,32434,1836,4179,1284,2016
CO,3,10550,2327,983,4103,6393,54,7603,2947,7239,1882,78,527,61,2016
CT,2,3902,831,203,1458,2440,4,2796,1106,2095,1535,32,54,73,2016
DC,1,8350,2732,920,3802,4512,36,7916,434,439,7689,35,38,16,2016
DE,1,1070,196,69,411,658,1,1011,59,406,617,1,1,3,2016
FL,27,33559,6140,2238,11789,21740,30,28855,4704,19369,12594,116,294,73,2016
GA,9,12909,2237,907,4507,8376,26,12266,643,3822,8571,54,64,51,2016
GU,1,1085,470,103,529,555,1,1061,24,11,4,17,0,1033,2016
HI,2,7921,1941,531,3243,4641,37,6989,932,1820,269,396,114,3374,2016
IA,3,3064,1013,285,1403,1659,2,2766,298,1869,898,18,73,5,2016
ID,2,2247,578,195,966,1278,3,1976,271,1928,76,9,133,23,2016
IL,20,11590,2892,1130,4746,6813,31,10341,1249,4214,6858,123,54,18,2016
IN,3,5798,1319,448,2414,3375,9,5577,221,3587,1911,24,41,17,2016
KS,5,2255,639,115,992,1262,1,2019,236,1505,513,18,65,2,2016
KY,3,4237,787,330,1575,2656,6,4068,169,2895,1103,3,30,18,2016
LA,9,3994,608,405,1337,2648,9,3813,181,1482,2319,12,30,10,2016
MA,16,19608,7764,1492,9446,10145,17,12660,6948,11029,6154,129,80,83,2016
MD,16,7689,1705,463,2922,4760,7,6970,719,2688,4620,34,55,19,2016
ME,2,2241,580,201,1007,1231,3,2171,70,1872,237,9,42,5,2016
MI,21,9316,2381,956,3854,5446,16,8792,524,4112,4637,31,89,33,2016
MN,10,7341,2563,934,3481,3841,19,6663,678,2780,3306,82,709,72,2016
MO,8,6194,1676,614,2864,3324,6,5932,262,3457,2312,23,108,18,2016
MP,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2016
MS,3,1738,266,114,712,1014,12,1718,20,647,1054,7,22,3,2016
MT,1,1418,350,123,599,818,1,1306,112,877,25,1,366,6,2016
NC,12,9559,1994,650,3774,5773,12,9127,432,3974,5072,31,145,15,2016
ND,1,923,154,86,331,590,2,844,79,510,129,5,218,1,2016
NE,3,2754,590,258,980,1771,3,2392,362,1858,570,11,67,6,2016
NH,3,1366,321,139,601,762,3,1247,119,1183,94,2,3,2,2016
NJ,15,8895,2086,850,3738,5148,9,7099,1796,3835,4682,56,79,53,2016
NM,2,2263,529,210,848,1404,11,1386,877,1273,181,18,576,16,2016
NV,3,7398,639,1424,1851,5541,6,6448,950,4329,2196,189,167,132,2016
NY,26,86352,30122,8816,41147,44980,225,47224,39128,19365,55779,945,659,1208,2016
OH,9,10404,2229,944,4046,6337,21,10071,333,5176,4632,38,50,9,2016
OK,8,4107,764,427,1615,2490,2,3893,214,2504,880,25,539,7,2016
OR,7,13238,2566,1188,5286,7893,59,11820,1418,10733,839,85,559,146,2016
PA,16,15339,4342,1488,6593,8708,38,13662,1677,6647,7899,63,61,27,2016
PR,2,4418,377,228,1227,3178,13,118,4300,1909,738,4,51,14,2016
RI,1,1160,195,89,421,738,1,924,236,767,291,15,17,3,2016
SC,4,5051,820,325,1791,3257,3,4924,127,2159,2626,21,28,17,2016
SD,1,1072,329,128,456,616,0,1026,46,322,72,2,624,5,2016
TN,10,8779,1298,543,3060,5700,19,8541,238,5140,3363,23,47,15,2016
TX,11,23122,4615,1596,9334,13739,49,17180,5942,12795,8143,233,843,79,2016
UT,3,2807,638,179,1043,1757,7,2223,584,2239,242,29,147,32,2016
VA,16,6268,1432,478,2561,3700,7,5707,561,2545,3337,84,37,11,2016
,1,341,22,8,80,261,0,304,37,51,257,1,6,1,2016
VT,2,1117,263,125,474,640,3,1040,77,968,88,6,12,0,2016
WA,7,20827,4038,1767,7992,12781,54,17864,2963,12298,4069,470,1123,485,2016
WI,4,5685,1809,558,2592,3083,10,5211,474,3030,2041,45,204,13,2016
WV,4,1387,220,110,481,906,0,1369,18,1112,216,1,6,1,2016
WY,1,857,195,61,338,518,1,736,121,660,39,2,128,0,2016
,402,549928,120819,50001,217268,330890,1770,428629,121299,265660,215177,5603,15229,8734,2016
AK,2,1845,305,186,765,1075,4,1743,102,641,147,20,770,69,2017
AL,8,3793,528,300,1314,2453,21,3721,72,1587,2064,9,21,1,2017
AR,6,2467,265,209,965,1499,3,2405,62,1447,892,9,24,7,2017
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2017
AZ,3,8947,1607,660,3331,5592,22,6876,2071,6086,1611,51,704,46,2017
CA,43,131532,14207,13276,42750,87609,793,90040,41492,68784,42282,2490,5663,1459,2017
CO,3,10940,2164,913,4014,6866,37,8142,2798,7778,1788,51,546,45,2017
CT,2,3388,736,259,1313,2054,8,2415,973,1752,1343,34,22,43,2017
DC,1,7473,2286,682,3226,4209,36,6979,494,481,6712,40,25,21,2017
DE,1,994,240,69,431,562,1,912,82,398,544,4,1,5,2017
FL,27,32190,5624,2599,11311,20721,78,27442,4748,18593,11954,122,278,109,2017
GA,9,10174,1646,697,3878,6239,53,9752,422,2805,6902,37,73,19,2017
GU,1,852,350,84,409,442,1,813,39,15,3,39,0,762,2017
HI,2,7220,1575,497,2951,4241,23,6255,965,1594,255,656,106,2901,2017
IA,3,2756,829,240,1186,1565,4,2551,205,1654,795,19,74,13,2017
ID,2,2037,443,153,809,1221,6,1769,268,1795,75,17,60,15,2017
IL,20,10798,2455,1106,4391,6372,31,9739,1059,3916,6375,78,68,20,2017
IN,2,5438,1177,355,2204,3226,8,5205,233,3283,1877,30,44,20,2017
KS,5,2287,553,138,937,1346,1,1953,334,1514,489,13,104,11,2017
KY,3,4025,616,331,1509,2507,9,3917,108,2829,1009,18,18,2,2017
LA,8,3305,527,238,1054,2233,14,3203,102,1267,1921,12,28,11,2017
MA,15,17565,6465,1510,8558,8975,26,11034,6531,10006,5830,173,82,80,2017
MD,16,7247,1370,422,2727,4505,12,6842,405,2479,4341,40,54,22,2017
ME,1,2280,590,191,1038,1226,12,2192,88,1853,284,11,38,10,2017
MI,21,9051,2340,782,3723,5314,13,8554,497,3826,4693,22,112,5,2017
MN,10,7668,2590,1103,3617,4029,17,7104,564,2685,3296,110,1018,16,2017
MO,8,6037,1537,643,2786,3226,18,5746,291,3063,2561,20,74,11,2017
MP,1,672,185,68,314,358,0,671,1,0,0,159,0,513,2017
MS,3,1472,252,60,573,891,1,1461,11,611,811,4,29,0,2017
MT,1,1529,340,124,624,898,4,1408,121,992,33,4,354,9,2017
NC,12,8962,1883,571,3567,5380,9,8444,518,3745,4553,37,190,17,2017
ND,1,1089,178,84,272,811,2,1046,43,367,127,6,226,0,2017
NE,3,2501,501,225,918,1580,3,2237,264,1664,579,20,122,4,2017
NH,3,1456,389,126,646,805,3,1320,136,1266,77,11,5,0,2017
NJ,16,8536,1945,761,3442,5074,17,6750,1786,3526,4621,75,96,38,2017
NM,2,2482,471,130,897,1545,19,1446,1036,1513,142,10,651,9,2017
NV,3,7833,608,1936,2273,5536,23,6770,1063,4610,2326,182,225,75,2017
NY,26,89503,30098,9111,42528,46643,321,60095,29408,19894,61463,1056,729,1191,2017
OH,9,10095,2234,858,3998,6067,23,9720,375,4933,4562,26,49,23,2017
OK,8,4199,867,378,1702,2485,10,3892,307,2594,767,8,577,17,2017
OR,7,13953,2636,1160,5493,8368,67,12444,1509,11326,832,79,588,175,2017
PA,16,14138,3755,1260,5999,8063,66,12696,1442,5864,7450,77,47,39,2017
PR,2,3525,218,199,841,2676,5,77,3448,1612,633,2,17,11,2017
RI,1,1180,236,78,430,743,7,917,263,762,309,8,16,3,2017
SC,4,3916,642,227,1451,2453,10,3828,88,1532,2205,8,32,4,2017
SD,1,943,215,62,412,529,2,901,42,310,44,3,563,8,2017
TN,10,8309,1364,543,3256,5043,7,8092,217,4775,3205,34,61,6,2017
TX,11,23548,4286,1750,8861,14546,47,16942,6606,13076,8928,253,325,68,2017
UT,3,2852,637,203,1083,1762,7,2210,642,2202,282,27,159,47,2017
VA,16,6067,1299,415,2315,3738,9,5516,551,2417,3241,84,32,22,2017
,1,381,9,5,73,298,0,332,49,54,311,1,5,3,2017
VT,2,1225,306,142,561,657,5,1165,60,1093,79,7,6,2,2017
WA,7,21112,4109,2296,8220,12631,154,18260,2852,12340,4167,321,1285,484,2017
WI,4,5027,1546,431,2267,2746,12,4635,392,2753,1643,69,195,13,2017
WV,4,1309,166,87,462,846,1,1288,21,1062,214,2,5,3,2017
WY,1,873,129,59,300,570,3,767,106,651,43,2,145,8,2017
,399,550996,114529,50992,214975,333049,2088,432634,118362,259675,223690,6700,16741,8515,2017
AK,2,2016,349,191,880,1129,7,1914,102,683,156,39,878,76,2018
AL,8,3434,573,157,1399,2025,9,3340,94,1664,1604,6,23,5,2018
AR,7,2712,309,213,1113,1593,5,2632,80,1647,916,12,36,4,2018
AS,0,19416,3904,1622,7602,11646,86,15109,4262,9353,7706,235,579,303,2018
AZ,3,9865,1680,780,3460,6354,34,7590,2275,6494,1906,53,836,57,2018
CA,43,129972,13936,12678,42491,85810,1252,88525,41447,72956,37770,2338,5391,1552,2018
CO,3,10857,1887,808,3880,6926,28,8020,2837,7814,1566,77,487,94,2018
CT,2,3976,967,254,1659,2310,7,2615,1361,2156,1482,17,92,16,2018
DC,1,6904,1933,639,2960,3903,33,6577,327,478,6286,39,40,15,2018
DE,1,1082,227,78,490,591,0,1012,70,406,616,6,12,2,2018
FL,27,31030,5871,2371,11092,19799,74,26694,4336,17743,11809,116,248,113,2018
GA,9,9499,1673,610,3742,5719,33,9200,299,2804,6281,22,73,25,2018
GU,1,854,361,76,399,455,0,804,50,11,8,20,1,788,2018
HI,2,6530,1366,370,2673,3827,23,5558,972,1527,214,579,80,2250,2018
IA,3,2749,684,282,1136,1606,6,2511,238,1753,713,14,90,10,2018
ID,2,2012,438,157,813,1197,2,1702,310,1675,57,7,103,22,2018
IL,20,10643,2505,958,4376,6226,27,9468,1175,3854,6234,80,78,32,2018
IN,2,5258,981,332,2138,3103,15,5026,232,3212,1839,30,34,16,2018
KS,5,2216,507,169,856,1350,2,1963,253,1400,522,13,88,17,2018
KY,3,3688,616,248,1402,2274,9,3546,142,2616,835,12,20,4,2018
LA,7,3059,371,219,901,2142,12,2973,86,1233,1726,13,24,8,2018
MA,15,20068,7660,1674,10001,10014,40,11936,8132,11813,6265,158,84,64,2018
MD,16,7144,1399,397,2643,4476,23,6756,388,2602,4166,41,51,24,2018
ME,1,2516,654,184,1174,1329,9,2406,110,2041,293,8,35,0,2018
MI,21,8351,2173,749,3498,4841,10,7877,474,3775,3980,27,102,14,2018
MN,10,7243,2254,890,3278,3941,15,6695,548,2698,3141,114,699,49,2018
MO,8,5883,1402,599,2584,3283,14,5618,265,3136,2331,14,85,14,2018
MP,1,1044,297,139,510,534,0,1044,0,3,9,387,0,637,2018
MS,3,1352,206,109,502,829,20,1309,43,610,663,12,9,5,2018
MT,1,1405,247,151,559,837,4,1305,100,956,38,2,238,8,2018
NC,12,9268,1762,647,3516,5728,19,8791,477,3971,4801,41,122,31,2018
ND,1,542,61,61,218,323,1,445,97,344,76,2,74,12,2018
NE,3,2421,419,196,936,1484,1,2111,310,1585,599,20,85,6,2018
NH,3,1450,362,125,624,823,1,1342,108,1232,91,18,5,2,2018
NJ,16,9398,2093,808,3904,5466,24,7457,1941,3936,5021,86,71,59,2018
NM,2,2551,437,146,895,1618,19,1464,1087,1495,200,14,690,13,2018
NV,3,7544,519,1235,2257,5246,36,6684,860,4498,2284,160,182,108,2018
NY,26,91897,30009,8761,43694,47850,341,60858,31039,21811,64622,1040,461,885,2018
OH,9,10249,2141,899,4129,6090,22,9742,507,5092,4601,37,69,20,2018
OK,8,3871,637,327,1399,2467,2,3606,265,2414,735,16,450,18,2018
OR,7,14476,2185,1165,5659,8690,79,13008,1468,11799,793,78,688,188,2018
PA,16,13512,3472,1055,5594,7870,36,11858,1654,5781,7016,87,73,48,2018
PR,2,3182,143,150,679,2494,6,66,3116,1454,601,2,10,9,2018
RI,1,1101,206,73,420,677,4,833,268,662,289,14,19,1,2018
SC,4,3933,510,281,1432,2494,4,3792,141,1736,2016,11,33,7,2018
SD,1,1159,218,77,424,735,0,1074,85,327,79,2,658,0,2018
TN,10,7883,1108,533,2822,5041,13,7624,259,4601,3007,19,58,12,2018
TX,11,25310,4101,1671,9468,15761,48,18163,7147,14363,9664,181,315,60,2018
UT,3,2876,621,243,1145,1711,16,2260,616,2209,277,28,143,72,2018
VA,16,5975,1284,416,2339,3626,6,5482,493,2399,3113,79,47,17,2018
,1,486,33,4,147,329,0,439,47,55,417,1,5,1,2018
VT,2,1291,292,144,555,728,4,1234,57,1150,84,8,11,0,2018
